name,author,narrator,time,releasedate,language,price,star
Brain-Fizzing Facts,EmilyGrossman,EmilyGrossman,120,24-06-2021,English,493.00,4
Bacca and the Riddle of the Diamond Dragon,"JeromeASF,ScottKenemore",BernardSetaroClark,300,31-08-2016,English,668.00,5
Terror on a Treasure Hunt,WinterMorgan,NicolZanzarella,43,30-08-2016,English,233.00,5
The Secret Treasure,WinterMorgan,LaurenFortgang,58,23-06-2015,English,233.00,5
Hidden in the Overworld,WinterMorgan,LaurenFortgang,53,13-10-2015,English,233.00,5
Battle in the Overworld,WinterMorgan,NicolZanzarella,52,11-08-2016,English,233.00,5
The Hardcore War,WinterMorgan,LaurenFortgang,53,24-11-2015,English,233.00,5
Creeper Invasion,WinterMorgan,NicolZanzarella,46,02-09-2016,English,233.00,5
The Griefer's Revenge,WinterMorgan,LaurenFortgang,120,26-02-2016,English,233.00,5
The Nether Attack,WinterMorgan,LaurenFortgang,53,18-11-2015,English,233.00,5
Skeleton Battle,WinterMorgan,NicolZanzarella,120,29-06-2016,English,233.00,5
Zombie Invasion,WinterMorgan,NicolZanzarella,53,29-06-2016,English,233.00,5
Betrayal at Salty Springs: An Unofficial Fortnite Adventure Novel,DevinHunter,RamonDeOcampo,120,09-10-2018,English,468.00,5
Bacca and the Skeleton King,"JeromeASF,ScottKenemore",BernardSetaroClark,360,31-08-2016,English,668.00,5
Destruction of the Overworld,MarkCheverton,JefHolbrook,360,07-03-2016,English,668.00,5
Battle for the Nether,MarkCheverton,ChrisSorensen,540,25-11-2014,English,668.00,5
Trouble in Zombie-Town,MarkCheverton,LukeDaniels,420,23-03-2015,English,668.00,5
The Christmas Pig,J.K.Rowling,"AmakaOkafor,RoccoPadden,GerranHowell,",300,12-10-2021,English,799.00,5
Adventures with Peppa,Ladybird,JohnSparkes,22,23-09-2021,English,410.00,5
Fantastic Beasts and Where to Find Them,"J.K.Rowling,NewtScamander",EddieRedmayne,54,14-03-2017,English,652.00,4
The Velveteen Rabbit,MargeryWilliams,RichardArmitage,24,14-08-2020,English,0.00,4
Charlotte's Web,"E.B.White,MelissaSweet","MerylStreep,fullcast,RobinMiles,",240,29-10-2019,English,754.00,4
Peppa Pig: Bedtime Stories,Ladybird,JohnSparkes,7,02-02-2017,English,342.00,4
Fantastic Mr Fox,RoaldDahl,ChrisO'Dowd,15,11-09-2014,English,615.00,4
The Lion and the Mouse,LavanyaR.N,KarthikKumar,8,05-03-2020,English,316.00,4
The Gruffalo and Other Stories,"JuliaDonaldson,AxelScheffler","ImeldaStaunton,JimCarter,StevenPacey",2,06-08-2020,English,323.00,4
"Bedtime Stories for Kids: Collection of Meditation Stories for Children of All Ages with Unicorns, Astronauts, Pirates, Funny Animals, Mermaids, Tales to Fall Asleep and Learn Mindfulness","AmandaDreams,NicoleFairy","MandyFisher,KrystalWascher",1560,01-12-2020,English,1003.00,5
Peppa Pig: On the Road with Peppa,JohnSparkes,JohnSparkes,2,26-05-2016,English,342.00,4
Peppa Pig: Once Upon a Time,Ladybird,JohnSparkes,59,28-01-2016,English,342.00,5
Peppa Pig: Peppa Meets the Queen and Other Audio Stories,Ladybird,JohnSparkes,19,01-08-2013,English,410.00,4
Sugarlump and the Unicorn and Other Stories,"JuliaDonaldson,LydiaMonks","DavidTennant,ImeldaStaunton,JoannaPage,",13,09-07-2020,English,323.00,4
The Sleepy Dinosaurs,HannahWatson,HannahWatson,NULL,31-08-2020,English,375.00,5
The Gruffalo,"JuliaDonaldson,AxelScheffler",ImeldaStaunton,25,24-06-2008,English,323.00,5
Beatrix Potter: The Complete Tales,BeatrixPotter,"GaryBond,MichaelHordern,RosemaryLeach,",300,01-05-2012,English,615.00,3
Peppa Pig: Dentist Trip and Other Audio Stories,Ladybird,JohnSparkes,23,01-05-2012,English,410.00,4
The Dragon’s Toothache,AnnieBesant,ShernazPatel,11,31-03-2020,English,75.00,4
The Monkey and the Crocodile,ShobhaViswanath,NaseeruddinShah,20,06-03-2020,English,75.00,4
Room on the Broom,"JuliaDonaldson,AxelScheffler",JosieLawrence,24,07-10-2008,English,323.00,4
What the Ladybird Heard,JuliaDonaldson,AlexanderArmstrong,17,29-06-2010,English,323.00,4
The Crow and the Cobra (Hindi Edition),MaplePress,ChaitaliGupta,3,23-09-2021,Hindi,139.00,4
The Highway Rat,JuliaDonaldson,ImeldaStaunton,29,01-05-2014,English,190.00,4
The Boy Who Drew Cats,AnushkaRavishankar,JaavedJaaferi,17,05-03-2020,English,294.00,4
The Monkeys and the Capseller,AnushkaRavishankar,SanjayDutt,13,31-03-2020,English,75.00,5
Now We Are Six,A.A.Milne,PeterDennis,53,27-01-2006,English,304.00,5
Tiddler,JuliaDonaldson,ImeldaStaunton,37,17-05-2014,English,190.00,5
The Fox and the Squirrel,SheilaGandhi,SaeedJaffrey,14,06-03-2020,English,357.00,3
The Lion and the Hare (Hindi Edition),MaplePress,ChaitaliGupta,3,23-09-2021,Hindi,139.00,5
5-Minute Pout-Pout Fish Stories,"DeborahDiesen,DanHanna-coverillustrator",FredBerman,58,29-12-2020,English,13.00,5
The Magic Unicorn,HannahWatson,HannahWatson,58,31-08-2020,English,375.00,4
The Tiger Who Came to Tea,JudithKerr,GeraldineMcEwan,9,06-06-2013,English,76.00,4
Zoey and Sassafras: Unicorns and Germs,AsiaCitro,JaninaEdwards,3,18-05-2021,English,468.00,5
An Elephant in My Backyard,ShobhaViswanath,ShernazPatel,8,31-03-2020,English,75.00,4
The Three Little Pigs,uncredited,KatieHaigh,12,10-03-2016,English,74.00,4
Crocodile Teeth,BharatShekhar,TuhinMenon,23,24-03-2022,English,116.00,5
Zog and the Flying Doctors,JuliaDonaldson,ImeldaStaunton,31,25-05-2021,English,266.00,5
When We Were Very Young,A.A.Milne,PeterDennis,58,27-01-2006,English,468.00,5
The Secret of the Himalayas,"AdamGidwitz,HenaKhan",JanuaryLaVoy,120,04-05-2021,English,553.00,5
Never Say Genius,DanGutman,MichaelGoldstrom,300,23-08-2013,English,585.00,5
The Musical Donkey,ShobhaViswanath,SaeedJaffrey,20,17-03-2020,English,75.00,5
Clifford the Big Red Dog,NormanBridwell,StephanieD'Abruzzo,3,08-02-2008,English,65.00,4
Sky,"AaronEhasz,MelanieMcGanneyEhasz",AdrianPetriw,480,03-08-2021,English,445.00,5
Monkey Puzzle,JuliaDonaldson,ImeldaStaunton,18,16-09-2008,English,323.00,5
Halloween... Che fifa felina!,GeronimoStilton,GeronimoStilton,37,25-10-2017,Italian,190.00,1
101 Animals Stories,DreamlandPublications,NinaJehangir,38,10-06-2020,English,233.00,4
My Father's Dragon,RuthStilesGannett,ChrisAndrewCiulla,50,27-11-2018,English,234.00,5
The Lizard’s Tail,ShobhaViswanath,VidyaBalan,12,31-03-2020,English,75.00,4
Zoey and Sassafras: Bips and Roses,AsiaCitro,JaninaEdwards,7,02-03-2021,English,468.00,5
Amma Sonna Kathaigal [Stories Told by Mother],Sivasankari,Sivasankari,32,12-01-2021,Tamil,34.00,4
The Racehorse Who Disappeared,ClareBalding,ClareBalding,180,28-09-2017,English,478.00,5
The Singing Mermaid,"JuliaDonaldson,LydiaMonks",LaurenLaverne,13,23-10-2013,English,323.00,5
A Mango Shaped Space,WendyMass,DanielleFerland,360,24-07-2007,English,936.00,5
Sookha Gulab [Dry Rose],Shivani,SarikaRathore,37,28-04-2020,Hindi,119.00,4
The Sleepysaurus,JenniferCarter,RodJohnson,8,22-11-2018,English,132.00,3
Fish Friends Three,SheilaGandhi,SaeedJaffrey,15,06-03-2020,English,75.00,4
The Magic Unicorn & Sleepy Dinosaur Bed Time Stories Collection,HannahWatson,HannahWatson,59,31-08-2020,English,468.00,5
Besura Dhondu,Gulzar,Gulzar,26,31-03-2020,Hindi,75.00,4
The Talking Cave,SheilaGandhi,SaeedJaffrey,14,06-03-2020,English,350.00,5
Rangeela Geedad,Gulzar,Gulzar,23,31-03-2020,Hindi,75.00,5
Raja Kapi,Gulzar,Gulzar,38,31-03-2020,Hindi,75.00,5
Rise of the Shadow Dragons,LizFlanagan,RebeccaKing,480,31-08-2021,English,569.00,5
Bad Day for Ballet,CarolynKeene,NancyWu,11,07-04-2010,English,234.00,5
Rhinos in Nebraska,AlisonPearceStevens,MarkSanderlin,57,24-08-2021,English,422.00,5
Indian Stories: Five Famous Tales,uncredited,KatieHaigh,27,25-02-2016,English,225.00,3
The Magic School Bus on the Ocean Floor,JoannaCole,CassandraMorris,2,01-09-2010,English,117.00,5
On the Origin of Species,SabinaRadeva,RoyMcMillan,30,18-04-2019,English,615.00,1
The Wind in the Willows,KennethGrahame,MichaelHordern,360,20-08-2007,English,558.00,5
Cricket for the Crocodile,RuskinBond,RuskinBond,26,19-08-2020,English,200.00,3
